Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Albania,2019,66.5,54.8,30.6,40.4,86.3,73.9,80.6,69.3,52.7,81.5,87.8,70.0,70.0
Armenia,2019,67.7,57.2,46.3,38.6,84.7,79.0,53.0,78.3,71.4,77.8,80.8,75.0,70.0
Austria,2019,72.0,84.2,71.3,77.4,50.5,24.5,85.5,74.9,68.7,81.5,86.0,90.0,70.0
Azerbaijan,2019,65.4,59.1,53.1,44.7,87.5,59.5,89.4,69.5,63.9,63.0,74.6,60.0,60.0
Belarus,2019,57.9,55.2,51.7,37.7,89.4,41.3,85.4,75.0,75.3,67.0,76.4,30.0,10.0
Belgium,2019,67.3,81.3,61.6,72.5,47.1,15.2,73.4,78.1,61.0,76.1,86.0,85.0,70.0
Bosnia and Herzegovina,2019,61.9,40.2,37.9,30.2,84.3,46.1,96.6,49.7,67.0,83.1,82.6,65.0,60.0
Bulgaria,2019,69.0,62.5,41.9,35.1,90.2,63.9,98.8,62.7,68.4,88.0,86.0,70.0,60.0
Croatia,2019,61.4,66.0,42.9,38.6,66.4,33.4,85.4,60.7,44.0,78.5,86.0,75.0,60.0
Cyprus,2019,68.1,73.1,48.1,43.7,74.9,55.2,80.3,76.9,59.5,84.0,86.0,75.0,60.0
Czech Republic,2019,73.7,74.8,47.6,52.1,82.6,52.1,97.6,72.4,78.1,81.5,86.0,80.0,80.0
Denmark,2019,76.7,86.2,77.8,85.8,42.0,14.4,96.7,90.7,86.4,84.1,86.0,90.0,80.0
Estonia,2019,76.6,81.5,76.0,73.1,79.9,51.1,99.8,75.3,57.2,79.6,86.0,90.0,70.0
Finland,2019,74.9,89.6,81.2,92.5,66.8,7.2,86.4,89.4,50.3,84.8,86.0,85.0,80.0
France,2019,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81.0,75.0,70.0
Georgia,2019,75.9,65.9,54.6,58.5,87.1,73.6,93.9,85.8,76.6,76.0,88.6,80.0,70.0
Germany,2019,73.5,79.9,75.4,81.3,60.8,42.3,91.8,83.3,52.8,77.9,86.0,80.0,70.0
Greece,2019,57.7,52.4,49.5,37.7,59.1,23.3,79.0,74.1,52.5,79.1,81.0,55.0,50.0
"Hungary ",2019,65.0,60.9,45.2,35.3,78.6,31.7,85.0,61.1,64.7,81.8,86.0,80.0,70.0
Iceland,2019,77.1,87.4,63.8,83.8,72.7,44.0,96.7,88.4,64.1,81.7,87.0,85.0,70.0
Ireland,2019,80.5,85.8,68.4,78.0,76.3,77.4,89.0,83.1,75.3,87.0,86.0,90.0,70.0
Italy,2019,62.2,71.7,49.8,43.7,55.6,26.5,71.3,71.7,51.1,84.0,86.0,85.0,50.0
